FECHA,KITENI,PS#1,PS#2,PS#3,PS#4
2010-01-01,0.1,0.0,0.0,5.0,0
2010-01-02,1.2,0.0,3.0,3.0,0
2010-01-03,3.6,0.0,3.2,2.0,0
2010-01-04,14.9,9.5,5.0,4.0,0
2010-01-05,13.6,25.3,12.0,12.0,0
2010-01-06,0.1,0.1,0.0,10.0,0
2010-01-07,0.0,0.0,1.2,5.0,0
2010-01-08,10.8,0.6,2.2,4.0,0
2010-01-09,21.9,14.6,27.4,5.0,0
2010-01-10,52.6,72.6,25.6,2.0,0
2010-01-11,30.9,18.4,36.6,7.0,0
2010-01-12,8.6,19.6,18.6,9.0,0
2010-01-13,9.0,4.5,22.6,25.0,0
2010-01-14,0.0,19.6,5.6,6.0,0
2010-01-15,0.0,28.5,0.0,5.0,0
2010-01-16,0.0,28.5,1.6,4.0,0
2010-01-17,1.4,3.4,7.8,2.0,0
2010-01-18,4.3,57.4,25.8,4.0,0
2010-01-19,27.2,13.1,103.2,5.0,0
2010-01-20,2.0,3.4,1.0,9.0,0
2010-01-21,15.4,35.5,50.0,5.0,0
2010-01-22,12.4,49.3,10.4,8.0,0
2010-01-23,1.5,8.8,1.0,12.0,0
2010-01-24,7.4,2.3,0.0,5.0,0
2010-01-25,13.2,2.3,24.2,15.0,0
2010-01-26,3.9,1.9,4.8,14.4,0
2010-01-27,2.2,41.2,0.0,10.7,0
2010-01-28,4.4,14.9,13.0,4.0,0
2010-01-29,1.2,0.3,1.2,3.0,0
2010-01-30,2.2,0.0,24.0,1.0,0
2010-01-31,7.4,1.3,25.6,1.1,0
2010-02-01,34.6,0.0,3.8,2.0,0
2010-02-02,33.2,0.0,13.6,1.0,0
2010-02-03,1.9,24.4,2.8,5.0,0
2010-02-04,8.4,12.3,5.2,3.0,0
2010-02-05,83.1,25.8,82.8,23.0,0
2010-02-06,22.8,30.4,25.2,6.2,0
2010-02-07,1.8,5.5,7.0,0.0,0
2010-02-08,2.1,6.0,2.8,0.0,0
2010-02-09,1.0,0.2,0.6,0.0,0
2010-02-10,0.0,3.3,0.8,0.0,0
2010-02-11,25.4,7.1,13.0,1.0,0
2010-02-12,13.0,109.8,24.6,11.0,0
2010-02-13,0.0,1.7,0.0,6.0,0
2010-02-14,0.0,0.0,0.0,1.0,0
2010-02-15,7.0,0.0,22.6,2.0,0
2010-02-16,4.7,34.0,2.6,6.0,0
2010-02-17,0.4,5.5,4.3,6.0,0
2010-02-18,11.4,17.4,15.5,1.0,0
2010-02-19,0.0,0.1,0.0,0.0,0
2010-02-20,6.2,14.5,18.2,0.0,0
2010-02-21,12.2,10.0,9.4,12.0,0
2010-02-22,3.1,2.5,2.6,5.1,0
2010-02-23,12.7,11.1,28.2,11.0,0
2010-02-24,23.6,0.2,18.7,3.0,0
2010-02-25,20.4,0.9,19.3,9.0,0
2010-02-26,1.0,0.0,5.2,11.0,0
2010-02-27,33.7,6.3,35.0,8.0,0
2010-02-28,2.6,16.0,7.8,5.0,0
2010-03-01,2.6,14.4,2.2,9.0,0
2010-03-02,15.3,9.0,3.5,4.0,0
2010-03-03,21.2,24.0,15.2,2.0,0
2010-03-04,49.9,51.1,44.6,9.0,0
2010-03-05,10.6,3.1,41.4,12.0,0
2010-03-06,10.6,9.4,18.3,35.0,0
2010-03-07,24.9,0.3,18.5,22.0,0
2010-03-08,27.4,20.1,15.8,22.0,0
2010-03-09,6.6,82.4,32.0,8.0,0
2010-03-10,9.0,24.2,3.2,13.0,0
2010-03-11,15.0,0.2,1.8,15.0,0
2010-03-12,0.0,65.0,24.0,2.0,0
2010-03-13,2.0,9.0,3.6,7.0,0
2010-03-14,21.4,0.3,39.0,6.0,0
2010-03-15,0.0,0.2,2.5,2.0,0
2010-03-16,50.4,35.8,106.9,24.0,0
2010-03-17,15.4,52.2,20.4,8.0,0
2010-03-18,14.2,4.3,5.0,10.0,0
2010-03-19,14.8,16.9,23.2,7.0,0
2010-03-20,12.0,14.3,17.0,11.0,0
2010-03-21,20.4,0.0,16.5,2.0,0
2010-03-22,15.6,63.2,35.5,5.7,0
2010-03-23,0.0,55.8,3.4,17.0,0
2010-03-24,8.6,8.4,7.8,12.5,0
2010-03-25,4.2,73.2,0.3,11.0,0
2010-03-26,18.8,19.5,64.7,3.0,0
2010-03-27,0.0,7.2,1.6,8.0,0
2010-03-28,2.8,0.2,3.9,7.0,0
2010-03-29,35.4,1.8,47.8,8.0,0
2010-03-30,0.0,10.3,0.0,9.0,0
2010-03-31,2.4,17.2,0.0,11.0,0
2010-04-01,0.1,1.5,0.0,23.0,0
2010-04-02,2.0,0.0,0.4,8.0,0
2010-04-03,1.0,0.0,0.0,8.0,0
2010-04-04,0.0,1.3,0.0,3.0,0
2010-04-05,37.2,3.2,1.5,6.0,0
2010-04-06,16.4,26.4,18.5,8.5,0
2010-04-07,4.4,0.2,14.5,0.0,0
2010-04-08,0.4,0.0,1.0,1.0,0
2010-04-09,0.8,1.4,2.0,4.0,0
2010-04-10,0.6,1.3,3.0,2.0,0
2010-04-11,1.0,0.1,2.0,0.0,0
2010-04-12,0.9,0.0,0.0,2.0,0
2010-04-13,0.0,0.0,0.0,0.0,0
2010-04-14,2.8,0.0,0.0,2.0,0
2010-04-15,0.0,0.0,0.0,2.0,0
2010-04-16,0.0,46.0,0.0,2.0,0
2010-04-17,27.0,34.8,10.4,0.0,0
2010-04-18,0.0,0.1,0.0,0.0,0
2010-04-19,0.0,0.0,0.0,0.0,0
2010-04-20,0.0,15.0,2.0,0.0,0
2010-04-21,0.0,0.0,0.0,0.0,0
2010-04-22,17.2,5.4,0.5,0.0,0
2010-04-23,0.0,8.2,0.0,0.0,0
2010-04-24,0.0,22.4,1.4,0.0,0
2010-04-25,4.0,0.0,19.5,0.0,0
2010-04-26,1.1,4.4,6.4,0.0,0
2010-04-27,6.1,53.4,0.0,0.0,0
2010-04-28,0.8,22.4,3.0,5.0,0
2010-04-29,0.0,2.1,0.0,4.0,0
2010-04-30,0.0,12.9,2.4,4.0,0
2010-05-01,31.0,16.5,21.8,27.0,0
2010-05-02,4.1,0.0,2.2,4.0,0
2010-05-03,0.0,0.0,0.0,0.0,0
2010-05-04,9.0,2.1,34.0,0.0,0
2010-05-05,0.0,17.6,0.2,0.0,0
2010-05-06,0.0,0.6,4.3,0.0,0
2010-05-07,0.3,1.4,2.3,0.0,0
2010-05-08,2.5,45.4,6.2,5.0,0
2010-05-09,0.0,114.0,0.2,0.0,0
2010-05-10,15.0,4.8,13.6,0.0,0
2010-05-11,1.3,0.1,2.6,2.3,0
2010-05-12,0.0,0.0,2.4,4.0,0
2010-05-13,0.0,0.0,0.0,1.0,0
2010-05-14,0.0,0.0,0.0,0.0,0
2010-05-15,0.0,0.0,0.0,0.0,0
2010-05-16,0.0,0.0,0.0,0.0,0
2010-05-17,0.0,1.3,2.4,0.0,0
2010-05-18,0.0,9.0,4.2,0.0,0
2010-05-19,0.0,14.4,0.0,0.0,0
2010-05-20,0.0,0.0,0.0,0.0,0
2010-05-21,0.0,0.0,0.0,0.0,0
2010-05-22,0.0,0.0,0.0,1.0,0
2010-05-23,0.0,0.0,0.0,0.0,0
2010-05-24,8.0,2.2,18.2,0.0,0
2010-05-25,3.6,0.1,15.9,0.0,0
2010-05-26,0.0,7.4,2.2,3.0,0
2010-05-27,10.5,1.0,12.3,4.0,0
2010-05-28,8.0,1.0,25.2,8.0,0
2010-05-29,0.2,0.0,2.4,0.0,0
2010-05-30,0.0,0.0,0.0,0.0,0
2010-05-01,0.0,0.5,40.0,0.0,0
2010-06-02,8.0,16.2,78.2,0.0,0
2010-06-03,0.0,0.0,0.0,0.0,0
2010-06-04,0.0,0.0,0.0,0.0,0
2010-06-05,0.0,0.0,2.4,0.0,0
2010-06-06,0.0,0.0,0.0,0.0,0
2010-06-07,1.0,2.5,10.2,0.0,0
2010-06-08,0.5,0.9,1.4,0.0,0
2010-06-09,0.0,0.0,0.0,0.0,0
2010-06-10,0.0,0.0,0.0,0.0,0
2010-06-11,8.0,0.0,2.1,0.0,0
2010-06-12,0.0,0.0,2.6,0.0,0
2010-06-13,0.0,0.0,0.0,0.0,0
