Fecha,Obrador Kiteni,PS#1,KP-7+400,KP 018+000,KP 030+000,KP 040+000,KP 043+600,KP 046+100,KP 050+000,KP 057+000,KP 064+000,KP 071+000,KP 082+000,KP 090+000,KP 095+000,PS#2,KP 142+000,KP-181+900,KP 184+039,PS#3,PS#4/XV10007,Mes,Ruptura
2020-01-01,6.4,57.6,40.0,25.0,54.199999999999996,56.2,55.6,48.400000000000006,30.599999999999998,24.6,24.3,15.0,13.4,13.2,9.0,24.0,12.6,4.4,8.4,14.0,2.0,2020-01,0
2020-01-02,1.8,16.6,36.5,14.5,4.1,8.1,27.4,26.0,30.2,26.599999999999998,6.2,5.2,3.0,1.4,3.2,0.0,2.0,101.60000000000001,38.4,0.0,0.0,2020-01,0
2020-01-03,21.9,20.4,11.4,6.0,34.0,74.30000000000001,13.600000000000001,15.3,32.8,12.399999999999999,20.0,20.0,12.0,16.2,14.399999999999999,37.0,27.0,37.4,34.2,0.0,0.0,2020-01,0
2020-01-04,1.8,1.8,7.6,16.0,6.2,0.0,5.6,10.3,8.6,16.4,10.0,14.0,13.3,5.0,17.0,1.8,3.2,1.8,2.0,0.0,0.0,2020-01,0
2020-01-05,48.5,34.6,47.2,0.9,4.2,22.0,27.4,67.0,69.60000000000001,110.39999999999999,38.2,27.0,33.7,9.2,26.2,9.8,41.0,35.0,24.0,0.0,0.0,2020-01,0
2020-01-06,2.9,26.2,27.2,7.0,103.80000000000001,112.3,128.60000000000002,128.4,114.0,141.8,65.4,72.0,33.7,22.2,77.2,67.0,11.2,5.0,4.4,0.0,0.0,2020-01,0
2020-01-07,39.0,31.6,53.4,47.7,48.099999999999994,56.3,59.599999999999994,76.0,81.0,176.4,65.0,88.0,73.4,44.4,45.2,49.8,20.799999999999997,42.800000000000004,54.6,0.0,0.0,2020-01,0
2020-01-08,10.9,6.2,3.6,7.0,3.1,0.0,10.4,25.0,20.4,37.4,11.1,24.3,20.1,12.2,10.0,13.4,24.4,44.0,47.2,0.0,0.0,2020-01,0
2020-01-09,2.2,0.0,0.0,0.9,6.8,5.1,0.0,4.0,1.2,1.0,0.0,0.0,0.0,0.0,1.2,1.0,0.0,12.8,0.0,0.0,0.0,2020-01,0
2020-01-10,16.0,0.8,1.6,3.0,10.5,11.2,2.4,4.0,2.6,3.2,7.4,20.0,15.2,14.2,30.2,68.0,8.6,0.0,0.0,0.0,0.0,2020-01,0
2020-01-11,4.0,0.0,0.0,8.0,20.0,16.6,1.0,3.0,10.4,25.0,0.0,6.3,8.4,9.6,1.2,7.4,22.6,0.0,0.0,0.0,0.0,2020-01,0
2020-01-12,0.0,42.2,46.8,30.0,10.600000000000001,1.4,1.4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2020-01,0
2020-01-13,7.1,25.0,35.0,24.0,21.599999999999998,10.0,5.2,5.0,4.1,14.4,14.2,2.0,13.5,1.0,1.0,3.8,3.8,0.0,0.0,0.0,0.0,2020-01,0
2020-01-14,9.3,25.200000000000003,64.9,86.0,25.200000000000003,18.4,9.4,11.0,23.7,15.6,47.2,22.0,19.4,30.0,14.2,38.4,17.8,0.0,0.0,0.0,0.0,2020-01,0
2020-01-15,32.0,24.599999999999998,25.7,92.0,13.4,24.0,4.2,19.0,20.3,24.200000000000003,12.4,23.4,42.1,72.4,36.2,51.4,15.6,0.0,0.0,0.0,0.0,2020-01,0
2020-01-16,0.9,7.2,12.4,7.0,9.4,11.0,4.6,3.0,5.6000000000000005,7.199999999999999,0.0,0.0,0.0,8.2,0.2,0.0,1.2,0.0,0.0,0.0,0.0,2020-01,0
2020-01-17,46.0,25.8,19.1,25.0,34.8,145.6,223.2,289.0,249.4,128.79999999999998,41.2,24.0,37.3,32.2,42.0,22.0,3.6,0.0,0.0,0.0,0.0,2020-01,0
2020-01-18,14.100000000000001,3.2,17.0,38.0,23.0,1.4,10.4,54.0,71.3,69.8,37.2,33.0,19.5,38.0,34.099999999999994,32.2,11.0,24.2,0.0,0.0,0.0,2020-01,0
2020-01-19,38.2,30.599999999999998,49.0,75.0,35.2,0.0,103.6,97.0,81.0,94.60000000000001,50.2,54.0,62.3,56.2,30.4,19.6,11.2,37.2,0.0,0.0,0.0,2020-01,0
2020-01-20,6.2,6.2,6.3,5.0,7.4,0.0,9.6,6.0,24.4,10.6,0.0,2.3,7.0,2.0,2.3,5.6,2.0,7.199999999999999,0.0,0.0,0.0,2020-01,0
2020-01-21,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2020-01,0
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,2020-01,0
