Fecha,Kiteni,PS#1,PS#2,PS#3,PS#4,Mes
2022-10-01,1.0,0.2,1.1,0.0,0,10
2022-10-02,0.0,0.0,0.0,6.0,0,10
2022-10-03,0.0,0.0,0.2,6.0,0,10
2022-10-04,0.0,0.0,0.0,0.0,0,10
2022-10-05,0.0,0.0,2.5,0.0,0,10
2022-10-06,0.0,2.3,2.4,0.0,0,10
2022-10-07,19.0,0.1,0.4,0.0,0,10
2022-10-08,0.0,3.2,1.1,0.0,0,10
2022-10-09,0.0,0.0,0.0,0.0,0,10
2022-10-10,2.0,0.0,0.1,0.0,0,10
2022-10-11,1.0,0.0,2.0,0.0,0,10
2022-10-12,1.6,0.0,0.0,0.0,0,10
2022-10-13,0.0,0.0,0.0,0.0,0,10
2022-10-14,0.0,0.1,0.0,0.0,0,10
2022-10-15,7.2,63.07,26.7,17.8,20,10
2022-10-16,0.0,0.0,0.2,7.1,8,10
2022-10-17,0.0,0.0,0.0,8.0,8,10
2022-10-18,16.2,0.4,1.3,0.0,0,10
2022-10-19,0.0,0.03,0.0,11.0,12,10
2022-10-20,0.0,0.0,0.0,0.0,0,10
2022-10-21,1.0,39.7,7.3,0.0,0,10
2022-10-22,2.0,0.1,0.6000000000000001,4.0,4,10
2022-10-23,0.0,15.0,1.0,0.0,0,10
2022-10-24,0.0,18.1,7.0,24.0,10,10
2022-10-25,8.0,57.6,4.0,0.0,0,10
2022-10-26,1.0,0.0,18.0,0.0,0,10
2022-10-27,1.0,0.4,2.0,0.0,0,10
2022-10-28,2.2,35.6,4.0,0.0,0,10
2022-10-29,0.0,0.0,0.0,0.0,0,10
2022-10-30,0.0,2.3,4.0,0.0,0,10
2022-10-31,2.0,0.5,2.0,0.0,0,10
2022-11-01,0.0,0.2,4.0,4.0,0,11
2022-11-02,7.0,0.5,15.0,13.0,2,11
2022-11-03,1.0,0.0,0.0,0.0,0,11
2022-11-04,0.2,0.0,0.0,0.0,0,11
2022-11-05,0.0,0.0,0.0,0.0,0,11
2022-11-06,0.0,0.0,0.0,4.0,4,11
2022-11-07,0.0,0.0,0.0,0.0,0,11
2022-11-08,0.0,0.0,0.0,1.5,1,11
2022-11-09,0.0,0.0,0.0,0.0,0,11
2022-11-10,0.0,0.0,2.0,0.0,0,11
2022-11-11,0.0,0.0,4.0,0.0,0,11
2022-11-12,0.0,0.1,0.0,0.0,0,11
2022-11-13,0.0,0.4,0.0,0.0,0,11
2022-11-14,2.0,0.0,0.0,0.0,0,11
2022-11-15,0.0,0.0,27.0,5.0,0,11
2022-11-16,1.0,4.0,4.5,12.0,0,11
2022-11-17,0.0,0.0,0.0,0.0,0,11
2022-11-18,0.0,0.0,0.0,3.5,0,11
2022-11-19,0.0,0.0,0.0,0.0,0,11
2022-11-20,0.0,0.0,0.0,0.0,0,11
2022-11-21,0.0,0.1,0.0,0.0,0,11
2022-11-22,12.0,25.0,8.5,0.0,0,11
2022-11-23,23.4,13.0,7.0,0.0,0,11
2022-11-24,0.0,0.0,0.0,27.0,4,11
2022-11-25,0.0,0.9,1.4,0.0,0,11
2022-11-26,44.4,0.0,7.1,10.0,1,11
2022-11-27,21.0,0.0,6.8,1.0,0,11
2022-11-28,0.0,0.0,4.1,21.0,5,11
2022-11-29,0.0,0.0,0.0,0.0,0,11
2022-11-30,0.0,0.0,0.0,0.0,0,11
2022-12-01,0.0,0.0,0.0,0.0,0,12
2022-12-01,0.0,0.0,0.0,0.0,0,12
2022-12-02,0.0,0.0,14.5,0.0,0,12
2022-12-03,4.0,12.5,25.0,0.0,0,12
2022-12-04,0.0,14.6,0.0,0.0,0,12
2022-12-05,0.0,0.0,0.0,0.0,0,12
2022-12-06,0.0,0.0,0.0,1.0,2,12
2022-12-07,28.6,4.0,22.4,1.0,2,12
2022-12-08,0.0,0.0,2.8,0.0,0,12
2022-12-09,0.0,0.8,0.0,0.0,0,12
2022-12-10,15.2,16.3,14.9,8.8,0,12
2022-12-11,0.0,0.0,31.0,0.0,0,12
2022-12-12,7.6,37.6,20.2,0.0,0,12
2022-12-13,10.2,18.6,10.7,10.0,0,12
2022-12-14,0.0,0.0,0.6000000000000001,2.0,0,12
2022-12-15,1.27,9.2,14.4,0.0,0,12
2022-12-16,12.7,51.3,26.1,15.0,0,12
2022-12-17,0.0,12.0,1.6,35.0,0,12
2022-12-18,0.0,0.6,0.0,0.0,0,12
2022-12-19,10.16,4.0,31.0,7.0,0,12
2022-12-20,12.54,0.42000000000000004,6.8,8.0,0,12
2022-12-21,27.939999999999998,0.6,1.0,0.0,0,12
2022-12-22,0.4,6.0,1.0,0.0,0,12
2022-12-23,0.30000000000000004,28.7,18.0,0.0,0,12
2022-12-24,0.1,8.0,2.0,0.0,0,12
2022-12-25,0.0,0.0,0.0,0.0,0,12
2022-12-26,30.2,75.8,32.0,0.0,0,12
2022-12-27,0.1,0.0,0.0,0.0,0,12
2022-12-28,0.0,0.0,0.0,0.0,0,12
2022-12-29,12.0,33.3,28.0,1.8,0,12
2022-12-30,0.1,10.799999999999999,7.0,0.0,0,12
2022-12-31,2.54,3.0,0.2,18.2,20,12
