Fecha,Obrador Kiteni,PS#1,KP 007+400,KP 018+000,KP 030+000,KP 040+000,KP 043+600,KP 046+100,KP 050+000,KP 057+000,KP 064+000,KP 071+000,KP 082+000,KP 090+000,KP 095+000,PS#2,KP 184+039,PS#3,PS#4/XV10007,Mes,KP 127+000,KP 181+900,KP 142+000,Ruptura
2023-01-01,2.54,21.7,2.4,0.4,0.0,1.5999999999999999,0,44.5,39.0,38.0,0.0,0.0,1.8,4.6,3.8,1.5999999999999999,0,3.8,4.0,2023-01,,,,0
2023-01-02,1.0,2.7,0.0,7.0,8.2,6.3,0,20.0,40.0,12.5,1.0,0.0,1.2,0.0,0.0,0.6000000000000001,0,1.0,1.0,2023-01,,,,0
2023-01-03,7.62,0.0,0.0,11.3,5.0,24.5,0,58.0,23.0,15.3,6.6,2.0,4.6,1.0,0.0,0.6,0,1.6,2.0,2023-01,,,,0
2023-01-04,10.16,0.9,14.399999999999999,30.400000000000002,65.5,40.2,0,53.0,45.0,74.1,32.2,31.0,33.0,56.6,24.7,18.6,0,3.4,3.0,2023-01,,,,0
2023-01-05,35.56,6.3,9.0,13.4,18.2,17.6,0,21.6,28.0,40.0,45.6,37.2,27.599999999999998,55.199999999999996,43.3,17.8,0,25.4,24.0,2023-01,,,,0
2023-01-06,10.16,63.0,24.3,40.0,19.0,32.2,0,46.0,60.0,28.0,25.0,54.4,40.8,32.2,36.0,25.4,0,17.799999999999997,18.5,2023-01,,,,0
2023-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.76,1.0,2023-01,,,,0
2023-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023-01,,,,0
2023-01-09,17.78,2.3,4.3,3.0,4.0,18.0,0,7.0,8.0,6.0,12.0,5.0,6.2,6.0,10.0,14.0,0,0.17,4.3,2023-01,,,,0
2023-01-10,2.0,0.0,0.0,0.0,5.0,15.2,0,24.0,15.0,11.0,10.0,6.0,19.400000000000002,24.7,26.0,23.5,0,0.0,0.0,2023-01,,,,0
2023-01-11,0.0,2.1,0.0,0.0,0.0,2.0,0,18.0,4.0,4.2,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023-01,,,,0
2023-01-12,0.0,0.0,0.0,0.0,0.0,6.1,0,0.0,1.0,0.0,4.0,1.3,1.1,0.0,0.0,0.0,0,0.0,0.0,2023-01,,,,0
2023-01-13,33.02,2.0,0.0,0.0,9.0,9.0,0,10.0,23.0,42.3,65.0,39.2,18.3,26.8,0.0,9.0,0,0.0,0.0,2023-01,,,,0
2023-01-14,0.0,0.4,3.2,6.0,20.0,18.0,0,17.0,17.0,16.4,8.0,3.2,1.3,0.0,0.0,12.0,0,0.0,0.0,2023-01,,,,0
2023-01-15,5.08,6.8,3.4,4.0,9.0,76.0,0,78.0,117.0,86.2,50.0,22.0,24.3,16.4,0.0,4.4,0,15.2,12.0,2023-01,,,,0
2023-01-16,1.0,26.4,20.2,26.0,24.0,8.0,0,15.0,20.4,58.3,26.0,24.1,22.200000000000003,9.5,0.0,6.0,0,12.0,10.0,2023-01,,,,0
2023-01-17,0.0,4.4,6.0,24.0,45.2,4.0,0,6.0,10.0,34.2,18.0,10.3,0.0,6.2,0.0,0.0,0,0.0,0.0,2023-01,,,,0
2023-01-18,20.32,90.9,24.0,22.0,41.2,28.0,0,30.0,34.4,21.6,7.1,7.5,2.1,5.6,0.0,2.1,0,5.0,3.0,2023-01,,,,0
2023-01-19,17.78,35.800000000000004,7.3,6.5,3.0,6.0,0,2.0,3.1,5.0,6.0,2.0,10.2,0.0,0.0,23.8,0,24.9,23.0,2023-01,,,,0
2023-01-20,7.62,0.1,0.0,0.0,35.2,19.0,0,15.0,16.7,12.600000000000001,4.0,14.1,19.2,0.0,0.0,3.3,0,0.0,0.0,2023-01,,,,0
2023-01-21,0.0,4.2,0.0,0.0,2.0,2.0,0,3.0,3.0,2.0,7.0,11.4,19.1,0.0,0.0,13.7,0,10.2,8.0,2023-01,,,,0
2023-01-22,2.54,0.4,0.0,0.0,0.0,4.0,0,2.0,2.3,10.0,20.0,13.4,4.1,0.0,0.0,8.3,0,6.4,5.0,2023-01,,,,0
2023-01-23,3.0,25.4,43.0,17.5,24.0,62.0,0,40.0,42.2,30.0,60.0,53.0,24.1,0.0,0.0,10.0,0,0.0,0.0,2023-01,,,,0
2023-01-24,1.0,0.0,4.0,0.0,1.2,0.0,0,2.0,7.0,18.0,35.0,60.2,10.2,0.0,0.0,2.5,0,0.0,0.0,2023-01,,,,0
2023-01-25,25.0,5.4,8.2,3.6,9.9,19.0,0,0.0,15.2,8.0,38.0,18.2,23.2,0.0,0.0,16.5,0,5.59,6.0,2023-01,,,,0
2023-01-26,0.0,2.2,2.3,6.9,14.0,3.0,0,0.0,90.0,28.4,8.0,5.0,16.3,0.0,0.0,3.3,0,1.02,2.0,2023-01,,,,0
2023-01-27,27.94,24.7,56.2,41.0,46.0,40.0,0,0.0,23.2,24.0,22.0,32.4,24.3,0.0,0.0,24.0,0,7.37,8.0,2023-01,,,,0
2023-01-28,0.0,5.1,2.3,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0,0.0,0.0,2023-01,,,,0
2023-01-29,0.0,15.5,6.2,19.5,8.1,8.0,0,42.0,17.8,0.0,3.0,5.2,8.2,0.0,0.0,0.0,0,6.6,6.0,2023-01,,,,0
2023-01-30,24.0,26.0,71.6,68.0,75.0,78.0,0,130.0,28.0,22.0,19.0,34.2,13.2,0.0,0.0,17.6,0,6.02,8.0,2023-01,,,,0
2023-01-31,0.0,35.1,21.2,20.0,10.5,12.0,0,45.1,18.0,15.0,8.0,8.2,15.2,0.0,0.0,6.4,0,3.5,4.0,2023-01,,,,0
2023-02-01,22.86,1.0,3.1,5.0,15.5,53.0,0,192.0,24.0,55.0,57.0,40.2,17.2,0.0,0.0,24.5,0,19.5,21.0,2023-02,0.0,,,0
2023-02-02,17.78,2.0,0.0,6.0,18.0,28.0,0,142.0,65.0,34.0,61.0,87.60000000000001,59.0,0.0,0.0,15.5,0,24.1,26.0,2023-02,0.0,,,0
2023-02-03,18.0,25.2,42.2,36.5,110.0,144.0,0,352.0,70.0,55.0,84.0,61.4,21.2,0.0,0.0,15.8,0,31.0,30.0,2023-02,0.0,,,0
2023-02-04,7.62,15.8,13.2,6.0,9.5,12.0,0,30.0,30.0,22.0,18.0,12.4,12.1,0.0,0.0,4.5,0,6.6,6.0,2023-02,0.0,,,0
2023-02-05,0.0,34.0,33.0,6.0,24.0,15.0,0,60.7,4.0,10.0,20.0,18.2,6.2,0.0,0.0,36.0,0,9.4,10.0,2023-02,0.0,,,0
2023-02-06,2.0,0.8,3.2,0.0,0.0,1.0,0,65.2,31.0,38.0,17.0,11.5,0.0,0.0,0.0,17.0,0,1.1,1.9,2023-02,0.0,,,0
2023-02-07,2.2,2.4,5.3,4.0,22.5,24.0,0,35.5,6.0,4.0,3.0,2.0,3.5,0.0,0.0,7.0,0,15.3,18.3,2023-02,0.0,,,0
2023-02-08,3.1,0.0,0.0,0.0,6.0,78.0,0,130.4,33.0,20.0,14.0,6.0,4.3,0.0,0.0,10.0,0,1.7,3.8,2023-02,0.0,,,0
2023-02-09,2.0,14.2,18.1,25.1,62.5,50.0,0,125.8,18.0,23.0,30.0,15.4,13.4,0.0,0.0,30.0,0,1.27,3.0,2023-02,0.0,,,0
